algorithm,modularity,num_communities,avg_community_size,weighted_avg_conductance,weighted_avg_internal_density
louvain,0.5454790379214803,2893,461.23781541652266,0.18408782697499781,0.0003082924930048224
label_propagation,0.4807120371035401,14055,94.93852721451441,0.056183772230300084,0.0013171741982075187
hierarchical_greedy,0.5370621818929233,3,444787.0,0.173824018358223,3.515384602003066e-05
leiden,0.5394137430874735,3765,354.41195219123506,0.17249031006127535,0.000289587881547446
